LOCATION,LOC_CODE,TRAIL_NAME,REACH,PATH_TYPE,TYPE_CLASS,SURFACE_TYPE,LENGTH_MILE,WIDTH_FT,PRIMARY_USE,JURISDICTION,ACCESSIBILITY,YEAR_BUILT,NOTES,ASSET_CLASS,CLASS_CATEGORY,GIS_ASSET_ID,INFOR_ASSET_ID,FCA_DATE,ASSET_CONDITION
Centennial Park,901,None,None,1,Park Circulation,Crusher Fines,0.00248482,5.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-SOFT,71435,107898,2019-01-01 00:00:00,Good
Bible Park,602,None,None,1,Park Circulation,Concrete,0.01137894,12.0,None,City & County of Denver,None,2011,None,WLKTRL,WLK-HARD,70803,104770,2019-01-01 00:00:00,Good
Hampden Heights Park,614,None,None,1,Park Circulation,Concrete,0.02065887,10.0,None,City & County of Denver,None,2021,None,WLKTRL,WLK-HARD,75212,109005,2021-10-07 00:00:00,100
Lawson,208,None,None,1,Park Circulation,Concrete,0.01071472,8.0,None,City & County of Denver,None,2010,None,WLKTRL,WLK-HARD,72611,106543,2019-01-01 00:00:00,Good
North Prairie Basin,591,None,None,1,Right of Way Walk,Concrete,None,None,None,City & County of Denver,None,2018,None,WLKTRL,WLK-ROW,None,None,2022-10-27 00:00:00,80
Thomas (Fred) Park,L16,Greenway Trail,None,2,Minor,Concrete,0.03220351,8.0,None,City & County of Denver,None,None,None,WLKTRL,TRL-MNR,74843,106813,2019-01-01 00:00:00,Good
Garfield Lake Park,807,Garfield Lake Loop,None,1,Park Circulation,Concrete,0.07452357,8.0,None,City & County of Denver,None,2010,None,WLKTRL,WLK-HARD,75127,106859,2019-01-01 00:00:00,Good
City Park,201,None,None,1,Park Circulation,Concrete,0.00654752,10.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,74774,104519,2019-01-01 00:00:00,Good
Barnum Park,804,None,None,1,Park Circulation,Concrete,0.02497423,10.0,None,City & County of Denver,None,2009,None,WLKTRL,WLK-HARD,75214,109007,2019-01-01 00:00:00,Good
Jacobs Park,707,None,None,1,Park Circulation,Concrete,0.04222121,10.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,72530,104989,2019-01-01 00:00:00,Good
Lakewood & Dry Gulch Park,030,None,None,1,Park Circulation,Concrete,0.02871919,8.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,70882,107066,2019-01-01 00:00:00,Good
Martinez Park,029,None,None,1,Park Circulation,Concrete,0.01439591,8.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,72541,105000,2019-01-01 00:00:00,Good
Town Center,558,None,None,1,Right of Way Walk,Concrete,0.10190782,None,None,City & County of Denver,None,None,None,WLKTRL,WLK-ROW,71263,104037,2019-01-01 00:00:00,Good
Arkins Park,944,None,None,1,Right of Way Walk,Concrete,0.06578831,8.0,None,City & County of Denver,None,2020,None,WLKTRL,WLK-HARD,77249,None,2021-05-12 00:00:00,100
41st & Ensenada,524,None,None,1,Park Circulation,Concrete,0.0300657,8.0,None,City & County of Denver,None,2004,None,WLKTRL,WLK-HARD,70313,105456,2019-01-01 00:00:00,Good
Falcon Park,537,None,None,1,Park Circulation,Asphalt,0.01123092,8.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,71918,107940,2018-10-01 00:00:00,Poor
Aztlan Park,032,None,None,1,Park Circulation,Asphalt,0.04124044,8.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,70307,104702,2018-09-13 00:00:00,Poor
Red Rocks,M44,Will Call Trail,None,2,Mountain,Natural Surface,0.3358201,None,None,Jefferson County,None,2016,None,WLKTRL,TRL-MTN,77166,None,None,None
Sanderson Gulch - Irving & Java,841,None,None,1,Park Circulation,Concrete,0.007311,None,None,City & County of Denver,None,2010,None,WLKTRL,WLK-HARD,73098,105847,2019-01-01 00:00:00,Good
Harvey Park,130,None,None,1,Park Circulation,Asphalt,0.01123562,8.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,72337,105743,2018-09-18 00:00:00,Poor
Speer Blvd Park,354,None,None,1,Right of Way Walk,Concrete,0.00846995,None,None,City & County of Denver,None,None,None,WLKTRL,WLK-ROW,73432,108122,2019-01-01 00:00:00,Good
Sanderson Gulch,828,Sanderson Gulch Trail,None,2,Minor,Concrete,0.1120491,10.0,None,City & County of Denver,None,2010,None,WLKTRL,TRL-MNR,74745,109673,2019-01-01 00:00:00,Good
La Lomita Park,830,None,None,1,Right of Way Walk,Concrete,0.01009406,5.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-ROW,70373,106244,2019-01-01 00:00:00,Good
Rocky Mountain Lake Park,007,Rocky Mountain Lake Loop,None,1,Park Circulation,Asphalt,0.05308576,None,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,73243,109499,2018-09-13 00:00:00,Poor
Park Ave Parks,317,None,None,1,Right of Way Walk,Concrete,0.02128425,5.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-ROW,76191,113047,2019-01-01 00:00:00,Good
La Alma / Lincoln Park,315,None,None,1,Right of Way Walk,Concrete,0.1212594,5.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-ROW,75075,106078,2019-01-01 00:00:00,Good
Cheesman Park,312,None,None,1,Park Circulation,Concrete,0.00946214,10.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,70002,103882,2019-01-01 00:00:00,Good
Cheesman Park,312,None,None,1,Park Circulation,Concrete,0.00485574,10.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,70033,104648,2019-01-01 00:00:00,Good
Cheesman Park,312,None,None,1,Park Circulation,Concrete,0.0492559,6.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,70156,107744,2019-01-01 00:00:00,Good
Red Rocks,M44,Funicular Trail,None,2,Mountain,Natural Surface,0.10501325,None,None,Jefferson County,None,2012,DMP Trail,WLKTRL,TRL-MTN,77107,None,None,None
Lowry Sports Complex,L21,None,None,1,Park Circulation,Concrete,0.00460526,12.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,74285,104463,2019-01-01 00:00:00,Good
Park Ave Parks,317,None,None,1,Right of Way Walk,Concrete,0.03081495,5.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-ROW,76222,113008,2019-01-01 00:00:00,Good
Cook Park,763,None,None,1,Park Circulation,Concrete,0.00385948,12.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,75173,108316,2019-01-01 00:00:00,Good
Loretto Heights,163,None,None,1,Park Circulation,Concrete,0.03534025,8.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,72797,105021,2019-01-01 00:00:00,Good
Hampden Heights West Park,615,None,None,1,Park Circulation,Asphalt,0.00887985,8.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,72439,107990,2019-01-01 00:00:00,Good
Montbello Civic Center,535,None,None,1,Right of Way Walk,Concrete,0.04606959,4.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-ROW,70159,107747,2019-01-01 00:00:00,Good
Parkfield,516,None,None,1,Right of Way Walk,Concrete,0.00275488,None,None,City & County of Denver,None,2009,None,WLKTRL,WLK-ROW,75710,109081,2019-01-01 00:00:00,Good
Washington Park,711,None,None,1,Park Circulation,Concrete,0.00693043,None,None,City & County of Denver,None,2013,None,WLKTRL,WLK-HARD,76324,114863,2019-01-01 00:00:00,Good
City of Axum Park,417,None,None,1,Park Circulation,Concrete,0.01732309,8.0,None,City & County of Denver,None,2010,None,WLKTRL,WLK-HARD,75390,107662,2019-01-01 00:00:00,Good
Washington Park,711,None,None,1,Park Circulation,Crusher Fines,0.01358245,None,None,City & County of Denver,None,2016,None,WLKTRL,WLK-HARD,73855,106717,2019-01-01 00:00:00,Good
Lowry Sports Complex,L21,None,None,1,Park Circulation,Concrete,0.00115392,16.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,74421,107523,2019-01-01 00:00:00,Good
Martin Luther King Jr. Park,415,None,None,1,Park Circulation,Concrete,0.00791337,8.0,None,City & County of Denver,None,2017,None,WLKTRL,WLK-HARD,72964,108754,2019-01-01 00:00:00,Good
Sanderson Gulch,828,None,None,1,Park Circulation,Concrete,0.01340621,None,None,City & County of Denver,None,2010,None,WLKTRL,WLK-HARD,74687,108270,2019-01-01 00:00:00,Good
Uplands Park,574,None,None,1,Park Circulation,Crusher Fines,0.07525504,5.0,None,City & County of Denver,None,2015,None,WLKTRL,WLK-SOFT,76784,None,2021-05-06 00:00:00,80
Lawson,208,None,None,1,Park Circulation,Crusher Fines,0.01337406,5.0,None,City & County of Denver,None,2014,None,WLKTRL,WLK-SOFT,76474,114979,2019-01-01 00:00:00,Good
Highland Gateway Park,046,None,None,1,Park Circulation,Brick,0.010624,10.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,72382,106514,2019-01-01 00:00:00,Good
Westerly Creek Park,560,None,None,1,Park Circulation,Concrete,0.02208884,None,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,74313,105235,2019-01-01 00:00:00,Good
O'Fallon,M40,Bear Creek Trail,None,2,Mountain,Natural Surface,0.93713922,None,None,Jefferson County,None,2001,JCOS Trail Agreement,WLKTRL,TRL-MTN,77117,None,None,None
Berkeley Lake,002,None,None,1,Park Circulation,Concrete,0.02501051,8.0,None,City & County of Denver,None,2012,None,WLKTRL,WLK-HARD,76613,None,2019-01-01 00:00:00,80
Pinehurst Park,159,None,None,1,Park Circulation,Asphalt,0.00433931,None,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,75229,109718,2019-01-01 00:00:00,Good
Crescent Park,L25,None,None,1,Park Circulation,Concrete,0.00882559,5.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,70847,106289,2019-01-01 00:00:00,Good
City Park,201,None,None,1,Park Circulation,Concrete,0.00705615,6.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,74026,104407,2019-01-01 00:00:00,Good
South Platte River Greenway,TRL-SP,South Platte River Trail,Mile High Stadium to Centennial Gardens,2,Regional,Concrete,0.8717699,10.0,None,City & County of Denver,None,None,None,WLKTRL,TRL-RGN,75975,112171,2019-01-01 00:00:00,Good
Pasquinels Landing,914,None,None,1,Park Circulation,Concrete,0.10646913,8.0,None,City & County of Denver,None,2016,None,WLKTRL,WLK-HARD,76630,None,2019-01-01 00:00:00,80
Cherry Creek Greenway,TRL-CC,None,None,1,Park Circulation,Concrete,0.03772365,8.0,None,City & County of Denver,None,2021,None,WLKTRL,WLK-HARD,75091,None,2021-07-22 00:00:00,100
Community Plaza Park,042,None,None,1,Right of Way Walk,Concrete,0.02502198,7.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-ROW,71650,107165,2019-01-01 00:00:00,Good
Town Center,558,None,None,1,Park Circulation,Concrete,0.08191358,None,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,71329,105609,2019-01-01 00:00:00,Good
Bear Creek Park,139,None,None,1,Park Circulation,Crusher Fines,0.2255359,5.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-SOFT,74852,106822,2019-01-01 00:00:00,Good
Hampden Heights Park,614,None,None,1,Park Circulation,Concrete,0.0145089,8.0,None,City & County of Denver,None,2010,None,WLKTRL,WLK-HARD,75164,107630,2019-01-01 00:00:00,Good
Washington Park,711,None,None,1,Park Circulation,Concrete,0.01140643,None,None,City & County of Denver,None,2018,None,WLKTRL,WLK-HARD,73913,108177,2019-01-01 00:00:00,Good
Civic Center Park,213,None,None,1,Park Circulation,Concrete,0.01562764,5.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,75544,105388,2019-01-01 00:00:00,Good
Westwood Park,839,None,None,1,Park Circulation,Crusher Fines,0.0081462,6.0,None,City & County of Denver,None,2018,None,WLKTRL,WLK-SOFT,76840,None,2019-01-01 00:00:00,80
Alamo Placita Park,301,None,None,1,Right of Way Walk,Concrete,0.02607275,5.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-ROW,70292,104687,2019-01-01 00:00:00,Good
Washington Park,711,None,None,1,Park Circulation,Concrete,0.02075347,None,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,73927,108191,2019-01-01 00:00:00,Good
Veterans Park,720,None,None,1,Park Circulation,Concrete,0.01606493,None,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,75116,106848,2019-01-01 00:00:00,Good
Lowry Sports Complex,L21,None,None,1,Park Circulation,Concrete,0.00497884,12.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,71092,105582,2018-09-25 00:00:00,Poor
Harvard Gulch,829,None,None,1,Right of Way Walk,Asphalt,0.0172317,6.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-ROW,70046,104661,2018-09-18 00:00:00,Poor
Eisenhower Park,630,None,None,1,Right of Way Walk,Asphalt,0.04520736,8.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-ROW,70587,105516,2019-01-01 00:00:00,Good
Mestizo Curtis Park,203,None,None,1,Right of Way Walk,Stone,0.05534949,6.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-ROW,72856,105822,2018-10-02 00:00:00,Poor
Huston Lake Park,811,None,None,1,Park Circulation,Concrete,0.04208261,10.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,72496,109412,2019-01-01 00:00:00,Good
Parkfield,516,None,None,1,Park Circulation,Concrete,0.01347783,6.0,None,City & County of Denver,None,2011,None,WLKTRL,WLK-HARD,75755,104621,2019-01-01 00:00:00,Good
Harvard Gulch North,842,None,None,1,Right of Way Walk,Concrete,0.06529901,8.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-ROW,70134,106980,2019-01-01 00:00:00,Good
Walker (Madme CJ) Park,227,None,None,1,Right of Way Walk,Concrete,0.05652947,None,None,City & County of Denver,None,None,None,WLKTRL,WLK-ROW,73772,105147,2019-01-01 00:00:00,Good
Montbello Open Space,539,None,None,1,Park Circulation,Crusher Fines,0.02070734,10.0,None,City & County of Denver,None,2018,None,WLKTRL,WLK-SOFT,76819,None,2021-05-12 00:00:00,80
Rude Park,024, ,None,1,Park Circulation,Concrete,0.04972619,None,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,70248,109133,2019-01-01 00:00:00,Good
Westerly Creek Park,560,None,None,1,Park Circulation,Concrete,0.00281894,None,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,74373,106760,2019-01-01 00:00:00,Good
Central Park,561,None,None,1,Park Circulation,Crusher Fines,0.00470385,None,None,City & County of Denver,None,None,None,WLKTRL,WLK-SOFT,70659,107053,2019-01-01 00:00:00,Good
Congress Park,314,None,None,1,Park Circulation,Concrete,0.02099233,10.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,70637,107031,2019-01-01 00:00:00,Good
Westerly Creek Park,560,Westerly Creek Trail,None,2,Minor,Concrete,0.19140918,10.0,None,City & County of Denver,None,None,None,WLKTRL,TRL-MNR,74261,104439,2019-01-01 00:00:00,Good
Cheesman Park,312,None,None,1,Park Circulation,Asphalt,0.0148896,3.0,None,City & County of Denver,None,2010,None,WLKTRL,WLK-HARD,75723,109780,2019-01-01 00:00:00,Good
City Park,201,None,None,1,Park Circulation,Concrete,0.03387983,6.0,None,City & County of Denver,None,2021,None,WLKTRL,WLK-HARD,77378,None,2022-02-15 00:00:00,100
Garland & Saratoga,166,None,None,1,Park Circulation,Asphalt,0.01165674,8.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,72031,104918,2019-01-01 00:00:00,Good
Pulaski Park,319,None,None,1,Park Circulation,Concrete,0.00390439,None,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,71163,107108,2019-01-01 00:00:00,Good
Washington Park,711,Washington Park Outer Loop,None,1,Park Circulation,Crusher Fines,0.13324422,None,None,City & County of Denver,None,None,None,WLKTRL,WLK-SOFT,73762,104371,2018-09-21 00:00:00,Poor
Harvard Gulch East,810,None,None,1,Right of Way Walk,Concrete,0.01185666,3.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-ROW,74184,108206,2019-01-01 00:00:00,Good
Sloans Lake Park,019,None,None,1,Park Circulation,Concrete,0.01032083,None,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,73449,108807,2019-01-01 00:00:00,Good
Cheesman Park,312,None,None,1,Park Circulation,Concrete,0.01088044,6.0,None,City & County of Denver,None,2010,None,WLKTRL,WLK-HARD,75152,107618,2019-01-01 00:00:00,Good
Sanderson Gulch,828,None,None,1,Right of Way Walk,Concrete,0.00702116,None,None,City & County of Denver,None,None,None,WLKTRL,WLK-ROW,74561,105282,2019-01-01 00:00:00,Good
Crestmoor Park,403,None,None,1,Park Circulation,Concrete,0.01185429,6.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,75076,106079,2019-01-01 00:00:00,Good
Frog Hollow Park,906,None,None,1,Park Circulation,Concrete,0.00616267,12.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,71986,109338,2019-01-01 00:00:00,Good
Harvard Gulch East,810,None,None,1,Right of Way Walk,Concrete,0.01690696,3.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-ROW,74821,106064,2019-01-01 00:00:00,Good
Garland Park,728,None,None,1,Park Circulation,Concrete,0.02207124,8.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,70196,108446,2019-01-01 00:00:00,Good
Bayuad Park,L05,None,None,1,Right of Way Walk,Concrete,0.01198735,6.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-ROW,74626,107529,2019-01-01 00:00:00,Good
Manley Park,337,None,None,1,Park Circulation,Concrete,0.00496024,5.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,72760,104226,2019-01-01 00:00:00,Good
39th Ave Greenway,229,None,None,1,Park Circulation,Concrete,0.04081382,10.0,None,City & County of Denver,None,2020,None,WLKTRL,WLK-HARD,77299,None,2021-05-12 00:00:00,100
Westwood Utility Easement,812,None,None,1,Park Circulation,Concrete,0.02824369,None,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,70820,105544,2019-01-01 00:00:00,Good
Hirshorn Park,014,None,None,1,Right of Way Walk,Concrete,0.00346159,12.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-ROW,75079,106082,2019-01-01 00:00:00,Good
Westerly Creek Park,560,Westerly Creek Trail,None,2,Minor,Concrete,0.10765707,10.0,None,City & County of Denver,None,None,None,WLKTRL,TRL-MNR,74408,107510,2019-01-01 00:00:00,Good
42nd & Lisbon,522,None,None,1,Right of Way Walk,Concrete,0.00516445,5.0,None,City & County of Denver,None,2004,None,WLKTRL,WLK-ROW,70251,103908,2019-01-01 00:00:00,Good
Washington Park,711,Washington Park Outer Loop,None,1,Park Circulation,Crusher Fines,0.00379594,None,None,City & County of Denver,None,None,None,WLKTRL,WLK-SOFT,73761,104370,2018-09-21 00:00:00,Poor
Highline Canal,TRL-HL,High Line Canal Trail,None,2,Access/Ramp,Concrete,0.01592411,8.0,None,City & County of Denver,None,None,None,WLKTRL,TRL-RGN,76038,112188,2019-01-01 00:00:00,Good
Harvey Park,130,Harvey Park Lake Loop,None,1,Park Circulation,Asphalt,0.13321968,10.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,72410,107262,2018-09-18 00:00:00,Poor
Washington Park,711,None,None,1,Park Circulation,Crusher Fines,0.00685453,None,None,City & County of Denver,None,2016,None,WLKTRL,WLK-HARD,73893,107454,2019-01-01 00:00:00,Good
Weir Gulch (S),837,None,None,1,Right of Way Walk,Concrete,0.0350921,None,None,City & County of Denver,None,None,None,WLKTRL,WLK-ROW,74126,106735,2019-01-01 00:00:00,Good
Mayfair Park,432,None,None,1,Park Circulation,Concrete,0.065502,6.0,None,City & County of Denver,None,2013,None,WLKTRL,WLK-HARD,76439,114826,2019-01-01 00:00:00,Good
Garland,728,None,None,1,Park Circulation,Concrete,0.01132393,8.0,None,City & County of Denver,None,2014,None,WLKTRL,WLK-HARD,76477,114964,2019-01-01 00:00:00,Good
Dailey Park,713,None,None,1,Right of Way Walk,Concrete,0.0567373,5.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-ROW,71795,104881,2019-01-01 00:00:00,Good
Argo Park,212,None,None,1,Right of Way Walk,Concrete,0.02114572,6.0,None,City & County of Denver,None,2010,None,WLKTRL,WLK-ROW,70460,108480,2019-01-01 00:00:00,Good
Parkfield,516,None,None,1,Park Circulation,Crusher Fines,0.00809348,None,None,City & County of Denver,None,2011,None,WLKTRL,WLK-SOFT,75643,107695,2018-09-21 00:00:00,Poor
Inspiration Point Park,055,None,None,1,Park Circulation,Crusher Fines,0.15778142,3.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-SOFT,77424,None,2022-06-09 00:00:00,80
Weir Gulch,836,None,None,1,Right of Way Walk,Concrete,0.02685379,3.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-ROW,74265,104443,2019-01-01 00:00:00,Good
Central Park Rec Center,567,None,None,1,Right of Way Walk,Concrete,0.00120096,5.0,None,City & County of Denver,None,2010,None,WLKTRL,WLK-ROW,75361,106903,2019-01-01 00:00:00,Good
Sunken Gardens,318,None,None,1,Park Circulation,Concrete,0.01268353,None,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,73503,104330,2019-01-01 00:00:00,Good
Verbena Park,L18,None,None,1,Park Circulation,Concrete,0.00098371,None,None,City & County of Denver,None,2010,None,WLKTRL,WLK-HARD,73692,108154,2019-01-01 00:00:00,Good
Platte Farm,235,None,None,1,Park Circulation,Concrete,0.07837645,8.0,None,City & County of Denver,None,2020,None,WLKTRL,WLK-HARD,76503,None,2021-08-23 00:00:00,100
Hallack Park,018,None,None,1,Park Circulation,Concrete,0.00366246,5.0,None,City & County of Denver,None,2010,None,WLKTRL,WLK-HARD,72178,107975,2019-01-01 00:00:00,Good
Hampden Heights Park,614,Hampden Heights Trail,None,2,Neighborhood,Asphalt,0.05865542,8.0,None,City & County of Denver,None,None,None,WLKTRL,TRL-MNR,72054,104941,2019-01-01 00:00:00,Good
Eisenhower Park,630,None,None,1,Park Circulation,Concrete,0.00770032,8.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,70705,108508,2019-01-01 00:00:00,Good
Berkeley Lake Park,002,None,None,1,Right of Way Walk,Asphalt,0.0765928,6.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-ROW,75249,109738,2019-01-01 00:00:00,Good
Red Rocks,M44,Trading Post Geologic Loop,None,2,Mountain,Natural Surface,0.13599664,None,None,Jefferson County,None,2011,None,WLKTRL,TRL-MTN,77089,None,None,None
Washington Park,711,Meadow Loop,None,1,Park Circulation,Asphalt,0.02078015,None,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,73988,109589,2018-09-21 00:00:00,Poor
Babi-Yar Park,601,None,None,1,Park Circulation,Concrete,0.00565561,12.0,None,City & County of Denver,None,2009,None,WLKTRL,WLK-HARD,73346,106630,2019-01-01 00:00:00,Good
39th Ave Greenway,229,None,None,1,Park Circulation,Concrete,0.00393308,6.0,None,City & County of Denver,None,2020,None,WLKTRL,WLK-HARD,77327,None,2021-05-12 00:00:00,100
Cheesman Park,312,None,None,1,Park Circulation,Concrete,0.00394843,5.0,None,City & County of Denver,None,2010,None,WLKTRL,WLK-HARD,75698,109069,2019-01-01 00:00:00,Good
Wagon Trail,177,None,None,1,Right of Way Walk,Concrete,0.07860394,None,None,City & County of Denver,None,None,None,WLKTRL,WLK-ROW,73595,105915,2019-01-01 00:00:00,Good
Westerly Creek Park,560,None,None,1,Park Circulation,Crusher Fines,0.0073089,None,None,City & County of Denver,None,None,None,WLKTRL,WLK-SOFT,74415,107517,2019-01-01 00:00:00,Good
Huston Lake Park,811,None,None,1,Park Circulation,Concrete,0.01406573,6.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,72495,109411,2019-01-01 00:00:00,Good
Sloans Lake Park,019,Sloan's Lake Loop,None,1,Park Circulation,Concrete,0.06556814,None,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,73383,107369,2019-01-01 00:00:00,Good
Washington Park,711,None,None,1,Park Circulation,Asphalt,0.02949293,None,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,73789,105164,2019-01-01 00:00:00,Good
City of Cuernavaca Park,904,None,None,1,Park Circulation,Concrete,0.00785882,8.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,71530,104087,2019-01-01 00:00:00,Good
Town Center,558,None,None,1,Park Circulation,Concrete,0.00558413,None,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,74400,107502,2019-01-01 00:00:00,Good
South Platte River Greenway,TRL-SP,South Platte River Trail,None,2,Access/Ramp,Concrete,0.0209646,6.0,None,City & County of Denver,None,None,None,WLKTRL,TRL-RGN,76054,112143,2019-01-01 00:00:00,Good
Cheesman Park,312,None,None,1,Park Circulation,Concrete,0.08884757,8.0,None,City & County of Denver,None,2010,None,WLKTRL,WLK-HARD,75695,109066,2019-01-01 00:00:00,Good
Hallack Park,018,None,None,1,Park Circulation,Concrete,0.05482543,8.0,None,City & County of Denver,None,2010,None,WLKTRL,WLK-HARD,72026,104154,2019-01-01 00:00:00,Good
City of Kunming Park,833,None,None,1,Right of Way Walk,Concrete,0.11728747,5.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-ROW,71636,107151,2019-01-01 00:00:00,Good
Hampden Heights Park,614,None,None,1,Park Circulation,Concrete,0.01069597,6.0,None,City & County of Denver,None,2021,None,WLKTRL,WLK-HARD,72358,106490,2021-10-07 00:00:00,100
Verbena Park,L18,None,None,1,Park Circulation,Concrete,0.00315379,None,None,City & County of Denver,None,2010,None,WLKTRL,WLK-HARD,73656,107409,2019-01-01 00:00:00,Good
Central Park,561,None,None,1,Park Circulation,Concrete,0.05479619,None,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,73494,109528,2019-01-01 00:00:00,Good
Jefferson Park,016,None,None,1,Right of Way Walk,Concrete,0.07753741,5.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-ROW,72559,105764,2019-01-01 00:00:00,Good
56th Ave,546,56th Ave,None,2,Neighborhood,Concrete,0.17592531,8.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,73900,108164,2019-01-01 00:00:00,Good
Benedict Fountain,310,None,None,1,Right of Way Walk,Concrete,0.05687005,8.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-ROW,75465,109044,2019-01-01 00:00:00,Good
Westwood Park,839,None,None,1,Park Circulation,Concrete,0.04001943,8.0,None,City & County of Denver,None,2018,None,WLKTRL,WLK-HARD,74207,108890,2019-01-01 00:00:00,Good
Hutchinson Park,616,None,None,1,Park Circulation,Crusher Fines,0.00643129,6.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-SOFT,72645,108002,2019-01-01 00:00:00,Good
Ash Grove Park,751,None,None,1,Right of Way Walk,Concrete,0.00433252,3.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-ROW,70341,105484,2019-01-01 00:00:00,Good
Skyline Park,332,None,None,1,Park Circulation,Concrete,0.01917651,None,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,76448,114837,2019-01-01 00:00:00,Good
51st & Broadway,230,None,None,1,Park Circulation,Concrete,0.01481983,6.0,None,City & County of Denver,None,2016,None,WLKTRL,WLK-HARD,76680,None,2018-10-01 00:00:00,80
Pulaski Park,319,None,None,1,Right of Way Walk,Concrete,0.01815634,8.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-ROW,71494,109277,2019-01-01 00:00:00,Good
Wallace Park,612,None,None,1,Park Circulation,Concrete,0.01300571,None,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,73864,107425,2019-01-01 00:00:00,Good
