LOCATION,LOC_CODE,TRAIL_NAME,REACH,PATH_TYPE,TYPE_CLASS,SURFACE_TYPE,LENGTH_MILE,WIDTH_FT,PRIMARY_USE,JURISDICTION,ACCESSIBILITY,YEAR_BUILT,NOTES,ASSET_CLASS,CLASS_CATEGORY,GIS_ASSET_ID,INFOR_ASSET_ID,FCA_DATE,ASSET_CONDITION
La Lomita Park,830,None,None,1,Right of Way Walk,Concrete,0.00324633,5.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-ROW,70400,107008,2019-01-01 00:00:00,Good
Ash Grove Park,751,None,None,1,Park Circulation,Concrete,0.15800213,8.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,70489,109154,2019-01-01 00:00:00,Good
Prairie Park,856,None,None,1,Park Circulation,Crusher Fines,0.07062114,None,None,City & County of Denver,None,None,None,WLKTRL,WLK-SOFT,75569,106150,2019-01-01 00:00:00,Good
Commons Park,902,None,None,1,Park Circulation,Natural Surface,0.0265662,8.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-SOFT,71700,108608,2019-01-01 00:00:00,Good
City of Cuernavaca Park,904,None,None,1,Right of Way Walk,Concrete,0.04715481,12.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-ROW,71890,107184,2019-01-01 00:00:00,Good
Greenway Park,556,None,None,1,Park Circulation,Concrete,0.01923203,10.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,71107,105597,2019-01-01 00:00:00,Good
City of Kunming Park,833,None,None,1,Park Circulation,Concrete,0.01425734,5.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,71597,106395,2019-01-01 00:00:00,Good
Central Park,561,None,None,1,Park Circulation,Concrete,0.01285871,None,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,70806,105530,2019-01-01 00:00:00,Good
Washington Park,711,None,None,1,Park Circulation,Concrete,0.00223472,None,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,73993,109594,2019-01-01 00:00:00,Good
Elyria Park,204,None,None,1,Park Circulation,Concrete,0.03215331,6.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,71262,104036,2019-01-01 00:00:00,Good
51st & Zuni,009,None,None,1,Park Circulation,Asphalt,0.03777422,8.0,None,City & County of Denver,None,2000,None,WLKTRL,WLK-HARD,74952,108972,2019-01-01 00:00:00,Good
The Bluffs,589,None,None,1,Right of Way Walk,Concrete,None,8.0,None,City & County of Denver,None,2018,None,WLKTRL,WLK-ROW,None,None,2022-09-29 00:00:00,80
Silverman Park,534,None,None,1,Right of Way Walk,Concrete,0.05571801,None,None,City & County of Denver,None,None,None,WLKTRL,WLK-ROW,73338,106622,2018-10-01 00:00:00,Poor
Harvard Gulch West,145,West Harvard Gulch Trail,None,2,Minor,Concrete,0.0472715,10.0,None,City & County of Denver,None,None,None,WLKTRL,TRL-MNR,75177,108320,2019-01-01 00:00:00,Good
Northfield Athletic Complex,584,None,None,1,Park Circulation,Concrete,0.00863163,6.0,None,City & County of Denver,None,2016,None,WLKTRL,WLK-HARD,77336,None,2018-10-01 00:00:00,80
Bear Valley,140,Bear Creek Trail,None,2,Regional,Concrete,0.53550949,10.0,None,City & County of Denver,None,None,None,WLKTRL,TRL-RGN,70876,107060,2019-01-01 00:00:00,Good
Boyd Park,255,None,None,1,Park Circulation,Asphalt,0.05873218,8.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,73002,104257,2019-01-01 00:00:00,Good
Rosedale Park,826,None,None,1,Park Circulation,Crusher Fines,0.0419178,None,None,City & County of Denver,None,None,None,WLKTRL,WLK-SOFT,72375,106507,2019-01-01 00:00:00,Good
Garland & Saratoga,166,None,None,1,Park Circulation,Asphalt,0.01748534,8.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,72212,109352,2019-01-01 00:00:00,Good
Cook Park,763,None,None,1,Park Circulation,Concrete,0.00763698,8.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,71711,108619,2019-01-01 00:00:00,Good
Great Lawn Park,L07,None,None,1,Park Circulation,Concrete,0.02582524,8.0,None,City & County of Denver,None,2010,None,WLKTRL,WLK-HARD,75412,108357,2019-01-01 00:00:00,Good
Ruby Hill Park,827,Ruby Hill Loop Trail,None,1,Park Circulation,Natural Surface,0.39463388,3.0,None,City & County of Denver,None,2016,None,WLKTRL,WLK-SOFT,76651,None,2019-01-01 00:00:00,80
Parkfield,516,None,None,1,Park Circulation,Concrete,0.01304607,None,None,City & County of Denver,None,2011,None,WLKTRL,WLK-HARD,75943,109823,2019-01-01 00:00:00,Good
Bear Creek Park,139,Bear Creek Trail,None,2,Regional,Concrete,0.13118258,10.0,None,City & County of Denver,None,None,None,WLKTRL,TRL-RGN,70945,108527,2019-01-01 00:00:00,Good
Sandos (M.L. Sam) Park,023,None,None,1,Park Circulation,Asphalt,0.28439907,None,None,City & County of Denver,None,2016,None,WLKTRL,WLK-HARD,70276,103933,2019-01-01 00:00:00,Good
Harvey Park,130,None,None,1,Park Circulation,Asphalt,0.03219922,8.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,72380,106512,2018-09-18 00:00:00,Poor
Centennial Park,901,None,None,1,Right of Way Walk,Concrete,0.01561526,8.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-ROW,74597,106780,2019-01-01 00:00:00,Good
Montbello Central,541,None,None,1,Park Circulation,Concrete,0.01571383,8.0,None,City & County of Denver,None,2017,None,WLKTRL,WLK-HARD,72821,105045,2019-01-01 00:00:00,Good
